#separator:tab
#html:true
#tags column:3
正面	背面	标签
<b>C(n,k) = ?</b>	n! / (k!(n-k)!)	概率::Ross Ch1::组合
<b>P(n,k) = ?</b>（排列）	n! / (n-k)!	概率::Ross Ch1::排列
<b>乘法原理</b>（独立实验）	复合实验 = m × n（实验1有m，实验2有n）	概率::Ross Ch1::乘法原理
<b>n! = ?</b>	n × (n-1) × ... × 2 × 1	概率::Ross Ch1::阶乘
<b>多项式系数</b> n!/(n1!n2!...nr!)	将 n 对象分 r 组，n1,n2,...nr 各组大小	概率::Ross Ch1::多项式
<b>球盒 stars and bars</b> x_1+...+x_r = n 的非负整数解个数	C(n+r-1, r-1)	概率::Ross Ch1::球盒
<b>Pascal 恒等式</b> C(n,k) = ?	C(n-1, k-1) + C(n-1, k)	概率::Ross Ch1::恒等式
<b>二项式定理</b>	sum_{k=0}^n C(n,k) = ?	2^n	概率::Ross Ch1::恒等式
<b>Vandermonde 恒等式</b> C(m+n, r) = ?	sum_k C(m,k) × C(n, r-k)	概率::Ross Ch1::恒等式
<b>生日问题</b>：23 人中至少 2 人同生日概率？	<b>50.73%</b>（直觉<10%，反直觉）	概率::Ross Ch1::生日
<b>生日月份</b>：5 人中至少 2 人同月？	<b>61.81%</b>（n=5 是阈值，比 365 天更早）	概率::Ross Ch1::生日
<b>桥牌全黑桃概率</b>	1 / C(52,13) = 1.57e-12（6350 亿分之一）	概率::Ross Ch1::桥牌
<b>扑克牌总手数</b>	C(52,5) = 2,598,960	概率::Ross Ch1::扑克
<b>C(52,5) = ?</b>	2,598,960	概率::Ross Ch1::组合
<b>Picard 大定理</b>（V17 反例）	复分析：本性奇点附近函数取遍所有值（至多1个例外）	概率::Ross Ch1::反例
<b>Sally Clark 案核心数学错误</b>	假设两次 SIDS 独立 → 概率乘积（实际相关，概率高 730 倍）	概率::Ross Ch1::失败案例
<b>乘法原理失效条件</b>	两个实验不独立 → 乘法失效（Sally Clark / LTCM）	概率::Ross Ch1::乘法原理
<b>Pascal 三角第 5 行</b>	1, 5, 10, 10, 5, 1	概率::Ross Ch1::Pascal
<b>组合爆炸直觉校准</b>	C(100, 50) ≈ 1.01e29（远超宇宙原子数 1e80 的 1/1e51）	概率::Ross Ch1::直觉
<b>C(100, 50) 数量级</b>	≈ 10^29	概率::Ross Ch1::组合
