:ID,name,:LABEL
t_8,架构,Topic
t_11,云计算,Topic
t_12,SOA,Topic
t_15,大数据,Topic
t_17,开源,Topic
t_19,Google,Topic
t_20,微软,Topic
t_21,安全,Topic
t_26,亚马逊云科技,Topic
t_29,数据库,Topic
t_31,AI&大模型,Topic
t_32,编程语言,Topic
t_42,Meta,Topic
t_54,百度,Topic
t_61,阿里巴巴,Topic
t_70,微服务,Topic
t_78,腾讯,Topic
t_81,区块链,Topic
t_106,云原生,Topic
t_119,Serverless,Topic
t_120,AIOps,Topic
t_125,自动驾驶,Topic
t_127,计算机视觉,Topic
t_141,小程序,Topic
t_145,华为,Topic
t_147,企业动态,Topic
t_160,医疗,Topic
t_1131,技术选型,Topic
t_1144,HarmonyOS,Topic
t_1160,数字化转型,Topic
t_1164,英特尔,Topic
t_1165,BizDevOps,Topic
t_1167,字节跳动,Topic
t_1168,行业深度,Topic
t_1169,银行,Topic
t_1170,证券,Topic
t_1171,保险,Topic
t_1172,汽车,Topic
t_1173,工业,Topic
t_1174,后端,Topic
t_1175,中间件,Topic
t_1176,操作系统,Topic
t_1177,5G/IoT,Topic
t_1178,音视频（后端）,Topic
t_1179,业务架构,Topic
t_1180,框架,Topic
t_1181,领域驱动设计,Topic
t_1182,多云/混合云,Topic
t_1183,生成式 AI,Topic
t_1184,AI 工程化,Topic
t_1185,机器学习/深度学习,Topic
t_1186,自然语言处理,Topic
t_1187,芯片&算力,Topic
t_1188,DataOps,Topic
t_1189,数据集成,Topic
t_1190,DataMesh,Topic
t_1191,数据编织,Topic
t_1192,数据湖仓,Topic
t_1193,在离线混部,Topic
t_1194,实时计算,Topic
t_1195,软件工程,Topic
t_1196,DevOps & 平台工程,Topic
t_1197,FinOps,Topic
t_1198,研发效能,Topic
t_1199,可观测,Topic
t_1200,服务革新,Topic
t_1201,云安全,Topic
t_1202,云端开发,Topic
t_1203,芯片与网络,Topic
t_1204,管理/文化,Topic
t_1205,数字人才培养,Topic
t_1206,团队搭建,Topic
t_1207,出海,Topic
t_1208,大前端,Topic
t_1209,Android/iOS,Topic
t_1210,架构/框架,Topic
t_1211,工程化,Topic
t_1212,跨端开发,Topic
t_1213,性能优化,Topic
t_1214,音视频（前端）,Topic
t_1215,用友,Topic
t_1216,低代码,Topic
t_1217,英伟达,Topic
t_1218,OpenAI,Topic
t_1220,AGICamp,Topic
t_1221,Snowflake,Topic
t_1222,大会快讯,Topic
t_1223,具身智能,Topic
