:START_ID,:END_ID,:TYPE
a_100041,t_8,IN_TOPIC
a_100041,t_1195,IN_TOPIC
a_100041,t_15,IN_TOPIC
a_100041,t_1168,IN_TOPIC
a_100041,t_1204,IN_TOPIC
a_100041,t_1,IN_TOPIC
a_100041,t_21,IN_TOPIC
a_100041,t_17,IN_TOPIC
a_100041,t_36,IN_TOPIC
a_100041,t_70,IN_TOPIC
a_100041,t_48,IN_TOPIC
a_100041,t_1131,IN_TOPIC
a_100041,t_1193,IN_TOPIC
a_100041,t_1172,IN_TOPIC
a_100044,t_8,IN_TOPIC
a_100044,t_11,IN_TOPIC
a_100044,t_1195,IN_TOPIC
a_100044,t_1168,IN_TOPIC
a_100044,t_147,IN_TOPIC
a_100044,t_1204,IN_TOPIC
a_100044,t_1174,IN_TOPIC
a_100044,t_21,IN_TOPIC
a_100044,t_3,IN_TOPIC
a_100044,t_1131,IN_TOPIC
a_100044,t_19,IN_TOPIC
a_100044,t_32,IN_TOPIC
a_100044,t_1180,IN_TOPIC
a_100044,t_1201,IN_TOPIC
a_100052,t_1168,IN_TOPIC
a_100052,t_1195,IN_TOPIC
a_100052,t_1204,IN_TOPIC
a_100052,t_3,IN_TOPIC
a_100052,t_43,IN_TOPIC
a_100052,t_1198,IN_TOPIC
a_100052,t_1131,IN_TOPIC
a_100052,t_48,IN_TOPIC
a_100052,t_1160,IN_TOPIC
a_100052,t_1205,IN_TOPIC
a_100052,t_1206,IN_TOPIC
a_100057,t_8,IN_TOPIC
a_100057,t_1204,IN_TOPIC
a_100057,t_1174,IN_TOPIC
a_100057,t_3,IN_TOPIC
a_100057,t_1131,IN_TOPIC
a_100057,t_48,IN_TOPIC
a_100057,t_36,IN_TOPIC
a_100057,t_70,IN_TOPIC
a_100057,t_32,IN_TOPIC
a_100059,t_8,IN_TOPIC
a_100059,t_1204,IN_TOPIC
a_100059,t_3,IN_TOPIC
a_100059,t_48,IN_TOPIC
a_100059,t_70,IN_TOPIC
a_100059,t_1131,IN_TOPIC
a_100086,t_8,IN_TOPIC
a_100086,t_11,IN_TOPIC
a_100086,t_15,IN_TOPIC
a_100086,t_1168,IN_TOPIC
a_100086,t_147,IN_TOPIC
a_100086,t_1204,IN_TOPIC
a_100086,t_1208,IN_TOPIC
a_100086,t_31,IN_TOPIC
a_100086,t_106,IN_TOPIC
a_100086,t_1,IN_TOPIC
a_100086,t_1118,IN_TOPIC
a_100086,t_17,IN_TOPIC
a_100086,t_1125,IN_TOPIC
a_100086,t_1213,IN_TOPIC
a_100086,t_1180,IN_TOPIC
a_100086,t_70,IN_TOPIC
a_100086,t_1182,IN_TOPIC
a_100086,t_1192,IN_TOPIC
a_100086,t_1194,IN_TOPIC
a_100086,t_1160,IN_TOPIC
a_100095,t_1168,IN_TOPIC
a_100095,t_147,IN_TOPIC
a_100095,t_1204,IN_TOPIC
a_100095,t_1174,IN_TOPIC
a_100095,t_1,IN_TOPIC
