改革	[5] 后面我们将看到，即使到了改革年代，中央和地方财政分配制<br>— 周黎安 · 《转型中的地方政府》 · p185	周黎安 转型中的地方政府 概念
政治锦标赛	我们所定义的政治锦标赛是指处于同一级别的政府官员为了获得政治<br>— 周黎安 · 《转型中的地方政府》 · p189	周黎安 转型中的地方政府 概念
实事求是	，并不是多此一举。计委这次提出明年的基建投资是二百五十亿元，财政部提出的是一百七十亿元。不管哪个数字，都比一九七八年的四百五十一亿元和一九七九年的三百六十亿元减少了。这就在实际上证实了一九七八年和一九七九年的投资超过了国家财力物力的可能。这种基建投资超过国家财力物力可能的状况，自一九七○年以来或多或少就存在了。基本建设战线太长，这是一个老问题。二、我们的基建投资，必须是没有赤字的〔１９５〕。就是在财政平衡的基础上，看能够拨出多少钱用于基本建设投资，以这个数字来制定基本建设计划。所以，根据三十年来的经验，找出基本建设投资在财政支出中所占比重这一条杠杠，是必要的，这样才是实事求是。三、不要用·自·由外汇〔１９６〕兑换成为人民币来弥补基建投资的赤字。我们现在借到的四十四亿美元自由外汇，用于其他方面的已经有三十一亿美元，明年不可能再借到五十亿美元４６２B这是陈云同志在国务院财政经济委员会召开的汇报会上的讲<br>— 陈云 · 《陈云文选·第三卷》 · p276	陈云 陈云文选第三卷 概念
行政发包制	争论 [9] ，原因在于行政发包制是一种混合形态，兼具理性科层制和纯<br>— 周黎安 · 《转型中的地方政府》 · p63	周黎安 转型中的地方政府 概念
权力	发包的方式和内容，即所谓的机制设计权，因而是一切权力的中心和<br>— 周黎安 · 《转型中的地方政府》 · p73	周黎安 转型中的地方政府 概念
权力	精英研究的结论在很大程度上反映了中国社会转型的特点，即国家和政府权力在社会转型中保持着主导性地位<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
计划经济	革前的中国，计划经济采用的是一种M型结构，即一个结构和功能类似<br>— 周黎安 · 《转型中的地方政府》 · p57	周黎安 转型中的地方政府 概念
计划经济	我们的商业是有计划的。我们国家实行的是计划经济，有五年计划，也有年度计划。商业是计划经济的一部分。资本主义商业不可能有全社会的计划。我们商业工作的目的是为人民服务，资本主义商业的目的则是为个人赚钱。我们不是看哪种商品销得快，就提高那种商品的价格。我们做的许多事，私商不会去做。四川的粮食赔钱运到上海去，私商不会干。我们的商业也是要赚钱的，但赚钱也是为了人民的利益。我们国家的和集体的商业工作，得到全党和全国人民的支持。如粮食统购统销，一九五三年十<br>— 陈云 · 《陈云文选·第二卷》 · p341	陈云 陈云文选第二卷 概念
分税制	所谓“其他补助”，在2（削年以前主要是指原体制补助，是为了部分保留分税制以前各地方对中央的补助和上解关系而设立的，数量不大<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
分税制	即使在实行了较为彻底的分税制的省份之间，具体的税收分成办法也<br>— 周黎安 · 《转型中的地方政府》 · p177	周黎安 转型中的地方政府 概念
