填空：在五年计划期间分别削减19% 的…（关键百分比数据）	在五年计划期间分别削减19% 的<br>— 《中国国家治理的制度逻辑》 · p119	中国国家治理的制度逻 数据 percentage
填空：只认可了市环保局上报减排量的10% 到58%，因此引起了市环保…（关键百分比数据）	只认可了市环保局上报减排量的10% 到58%，因此引起了市环保<br>— 《中国国家治理的制度逻辑》 · p122	中国国家治理的制度逻 数据 percentage
填空：例如2009 年SO2 减排比例为17% 的低认可水平与该市…（关键百分比数据）	例如2009 年SO2 减排比例为17% 的低认可水平与该市<br>— 《中国国家治理的制度逻辑》 · p122	中国国家治理的制度逻 数据 percentage
填空：比例为17% 的低认可水平与该市…（关键百分比数据）	比例为17% 的低认可水平与该市<br>— 《中国国家治理的制度逻辑》 · p122	中国国家治理的制度逻 数据 percentage
填空：其中“环境保护”只占到4% 的比重，而“经济发展”的比重则高…（关键百分比数据）	其中“环境保护”只占到4% 的比重，而“经济发展”的比重则高<br>— 《中国国家治理的制度逻辑》 · p174	中国国家治理的制度逻 数据 percentage
填空：市都被判定为未完成年度设定的目标：只有40% 的市环保局完成…（关键百分比数据）	市都被判定为未完成年度设定的目标：只有40% 的市环保局完成<br>— 《中国国家治理的制度逻辑》 · p193	中国国家治理的制度逻 数据 percentage
填空：只有21% 的COD 减排量和19% 的SO2 减排量得到国家环保部的…（关键百分比数据）	只有21% 的COD 减排量和19% 的SO2 减排量得到国家环保部的<br>— 《中国国家治理的制度逻辑》 · p194	中国国家治理的制度逻 数据 percentage
填空：后几年表现出大幅度的提高：在2006 年其任务完成状况是−20%，…（关键百分比数据）	后几年表现出大幅度的提高：在2006 年其任务完成状况是−20%，<br>— 《中国国家治理的制度逻辑》 · p262	中国国家治理的制度逻 数据 percentage
填空：2007 年是0%，在后三年却迅速提高，顺利完成了规定的目标任务…（关键百分比数据）	2007 年是0%，在后三年却迅速提高，顺利完成了规定的目标任务<br>— 《中国国家治理的制度逻辑》 · p262	中国国家治理的制度逻 数据 percentage
填空：提高：在2006 年其任务完成状况是−20%，…（关键百分比数据）	提高：在2006 年其任务完成状况是−20%，<br>— 《中国国家治理的制度逻辑》 · p262	中国国家治理的制度逻 数据 percentage
填空：可完成了五年计划指标的50%，而其他县环保局却被认定为负增…（关键百分比数据）	可完成了五年计划指标的50%，而其他县环保局却被认定为负增<br>— 《中国国家治理的制度逻辑》 · p264	中国国家治理的制度逻 数据 percentage
填空：有的县减15%，有的县却上升，哪有这…（关键百分比数据）	有的县减15%，有的县却上升，哪有这<br>— 《中国国家治理的制度逻辑》 · p264	中国国家治理的制度逻 数据 percentage
填空：有一些县没有达到当年削减5% 的污水…（关键百分比数据）	有一些县没有达到当年削减5% 的污水<br>— 《中国国家治理的制度逻辑》 · p265	中国国家治理的制度逻 数据 percentage
填空：完成了五年计划中二氧化硫减排的60%，其中两个县局（CK 和CG）…（关键百分比数据）	完成了五年计划中二氧化硫减排的60%，其中两个县局（CK 和CG）<br>— 《中国国家治理的制度逻辑》 · p266	中国国家治理的制度逻 数据 percentage
填空：双重的：其一是超过五年计划总目标的60%，其二是完成年度减排…（关键百分比数据）	双重的：其一是超过五年计划总目标的60%，其二是完成年度减排<br>— 《中国国家治理的制度逻辑》 · p267	中国国家治理的制度逻 数据 percentage
填空：目标：削减污水5% 和二氧化硫7% 的排放任务…（关键百分比数据）	目标：削减污水5% 和二氧化硫7% 的排放任务<br>— 《中国国家治理的制度逻辑》 · p267	中国国家治理的制度逻 数据 percentage
填空：超过五年计划总目标的60%，其二是完成年度减排…（关键百分比数据）	超过五年计划总目标的60%，其二是完成年度减排<br>— 《中国国家治理的制度逻辑》 · p267	中国国家治理的制度逻 数据 percentage
填空：但在市局总体上已经完成了五年计划60% 的目标，即…（关键百分比数据）	但在市局总体上已经完成了五年计划60% 的目标，即<br>— 《中国国家治理的制度逻辑》 · p268	中国国家治理的制度逻 数据 percentage
填空：2008 年大多数县局完成了污水处理比2005 年减排60% 的预…（关键百分比数据）	2008 年大多数县局完成了污水处理比2005 年减排60% 的预<br>— 《中国国家治理的制度逻辑》 · p269	中国国家治理的制度逻 数据 percentage
填空：标：完成了污水减排108%，二氧化硫减排159%…（关键百分比数据）	标：完成了污水减排108%，二氧化硫减排159%<br>— 《中国国家治理的制度逻辑》 · p273	中国国家治理的制度逻 数据 percentage
填空：大多数市环保局达到了减排60% 的目标，有些市环保局…（关键百分比数据）	大多数市环保局达到了减排60% 的目标，有些市环保局<br>— 《中国国家治理的制度逻辑》 · p275	中国国家治理的制度逻 数据 percentage
填空：过了至少50% 有效投票率的法定要求，于是工作组和选举委员会…（关键百分比数据）	过了至少50% 有效投票率的法定要求，于是工作组和选举委员会<br>— 《中国国家治理的制度逻辑》 · p365	中国国家治理的制度逻 数据 percentage
填空：了总票数的91%，刘主任以后在不同场合里常常自豪地说起这个高…（关键百分比数据）	了总票数的91%，刘主任以后在不同场合里常常自豪地说起这个高<br>— 《中国国家治理的制度逻辑》 · p367	中国国家治理的制度逻 数据 percentage
填空：有15 个村庄（56%）的村主任在改选中被换掉…（关键百分比数据）	有15 个村庄（56%）的村主任在改选中被换掉<br>— 《中国国家治理的制度逻辑》 · p380	中国国家治理的制度逻 数据 percentage
填空：现在提出了80% 实现率的具体指标…（关键百分比数据）	现在提出了80% 实现率的具体指标<br>— 《中国国家治理的制度逻辑》 · p384	中国国家治理的制度逻 数据 percentage
填空：下降，只有67% 的村庄实现了“一肩挑”（见图10－2 的…（关键百分比数据）	下降，只有67% 的村庄实现了“一肩挑”（见图10－2 的<br>— 《中国国家治理的制度逻辑》 · p385	中国国家治理的制度逻 数据 percentage
填空：在1980—1982 年间增长至7.5%，1982—1986 年间又增长至13.0%…（关键百分比数据）	在1980—1982 年间增长至7.5%，1982—1986 年间又增长至13.0%<br>— 《中国国家治理的制度逻辑》 · p420	中国国家治理的制度逻 数据 percentage
填空：1980—1982 年间增长至7.5%，1982—1986 年间又增长至13.0%…（关键百分比数据）	1980—1982 年间增长至7.5%，1982—1986 年间又增长至13.0%<br>— 《中国国家治理的制度逻辑》 · p420	中国国家治理的制度逻 数据 percentage
填空：增长至7.5%，1982—1986 年间又增长至13.0%…（关键百分比数据）	增长至7.5%，1982—1986 年间又增长至13.0%<br>— 《中国国家治理的制度逻辑》 · p420	中国国家治理的制度逻 数据 percentage
填空：21 万名受访工人中只有12% 的人认为他们的工作能量得到了充分…（关键百分比数据）	21 万名受访工人中只有12% 的人认为他们的工作能量得到了充分<br>— 《中国国家治理的制度逻辑》 · p421	中国国家治理的制度逻 数据 percentage
填空：`10％` | 界第四，平均年增长率接近10％，而这一切又发生在一个发展中的社…（关键百分比数据）	`10％` | 界第四，平均年增长率接近10％，而这一切又发生在一个发展中的社<br>— 《转型中的地方政府》 · p16	转型中的地方政府 数据 quantitative
填空：`26％` | 的过程，从1978年的26％一路下降到1994年的5％—6％。…（关键百分比数据）	`26％` | 的过程，从1978年的26％一路下降到1994年的5％—6％。<br>— 《转型中的地方政府》 · p34	转型中的地方政府 数据 quantitative
填空：`12%` | 之后，地方政府收入的比重开始缓慢上升，到了2014年已经达到12%的…（关键百分比数据）	`12%` | 之后，地方政府收入的比重开始缓慢上升，到了2014年已经达到12%的<br>— 《转型中的地方政府》 · p34	转型中的地方政府 数据 quantitative
填空：`20%` | 降的，1997年触底之后出现了较大幅度的上升，2014年已经超过20%。…（关键百分比数据）	`20%` | 降的，1997年触底之后出现了较大幅度的上升，2014年已经超过20%。<br>— 《转型中的地方政府》 · p34	转型中的地方政府 数据 quantitative
填空：`4%` | —1993年的大幅下降之后触底反弹，从1993年的不到4%上升至2014年…（关键百分比数据）	`4%` | —1993年的大幅下降之后触底反弹，从1993年的不到4%上升至2014年<br>— 《转型中的地方政府》 · p34	转型中的地方政府 数据 quantitative
填空：`14%` | 显的下降过程，从改革之初的14%降至2014年的4%左右。…（关键百分比数据）	`14%` | 显的下降过程，从改革之初的14%降至2014年的4%左右。<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`70％` | 财政支出的比例平均维持在70％以上。…（关键百分比数据）	`70％` | 财政支出的比例平均维持在70％以上。<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`80％` | 80％骤然降至不足50％，但是，80年代中期以来地方财政支出的比例…（关键百分比数据）	`80％` | 80％骤然降至不足50％，但是，80年代中期以来地方财政支出的比例<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`85%` | 却一直处于较高水平，2000年之后继续增加，近年来更是高达85%。…（关键百分比数据）	`85%` | 却一直处于较高水平，2000年之后继续增加，近年来更是高达85%。<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`70％` | 方政府的财政支出占比高达70％以上，从国际比较的角度看，这是非…（关键百分比数据）	`70％` | 方政府的财政支出占比高达70％以上，从国际比较的角度看，这是非<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`0.86％` | 有一个高度稳定的趋势值，大约0.86％，即100个人当中政府机关雇员…（关键百分比数据）	`0.86％` | 有一个高度稳定的趋势值，大约0.86％，即100个人当中政府机关雇员<br>— 《转型中的地方政府》 · p35	转型中的地方政府 数据 quantitative
填空：`7％` | 所占比例非常有限，不到7％，而剩下93％都是地方政府所雇佣的公务…（关键百分比数据）	`7％` | 所占比例非常有限，不到7％，而剩下93％都是地方政府所雇佣的公务<br>— 《转型中的地方政府》 · p36	转型中的地方政府 数据 quantitative
填空：`1.68%` | 的最高值（1989年）只有1.68%，1998年国家机关改革之后还大幅度下…（关键百分比数据）	`1.68%` | 的最高值（1989年）只有1.68%，1998年国家机关改革之后还大幅度下<br>— 《转型中的地方政府》 · p36	转型中的地方政府 数据 quantitative
填空：`0.5％` | 降，跌至不足0.5％。…（关键百分比数据）	`0.5％` | 降，跌至不足0.5％。<br>— 《转型中的地方政府》 · p36	转型中的地方政府 数据 quantitative
填空：`69％` | 量的69％和59％，这与所有其他的计划经济体制国家形成鲜明对比…（关键百分比数据）	`69％` | 量的69％和59％，这与所有其他的计划经济体制国家形成鲜明对比<br>— 《转型中的地方政府》 · p37	转型中的地方政府 数据 quantitative
填空：`100％` | 财政收入越高，地方的留存就越多，其中预算外收入属于100％的留…（关键百分比数据）	`100％` | 财政收入越高，地方的留存就越多，其中预算外收入属于100％的留<br>— 《转型中的地方政府》 · p44	转型中的地方政府 数据 quantitative
填空：`52.6%` | 方财政支出占全国财政支出的比例不断上升，1978年已经接近52.6%。…（关键百分比数据）	`52.6%` | 方财政支出占全国财政支出的比例不断上升，1978年已经接近52.6%。<br>— 《转型中的地方政府》 · p76	转型中的地方政府 数据 quantitative
填空：`90%` | 违规虚假医药广告的案例中来自外省企业的广告占了90%以上，也就是…（关键百分比数据）	`90%` | 违规虚假医药广告的案例中来自外省企业的广告占了90%以上，也就是<br>— 《转型中的地方政府》 · p83	转型中的地方政府 数据 quantitative
填空：`20%` | 在过去30多年一直处于20%—30%的水平，近年来更是降至15%左右的历…（关键百分比数据）	`20%` | 在过去30多年一直处于20%—30%的水平，近年来更是降至15%左右的历<br>— 《转型中的地方政府》 · p97	转型中的地方政府 数据 quantitative
填空：`50％` | 史新低，与西方发达国家通常在50％—60%的水平形成鲜明对比。…（关键百分比数据）	`50％` | 史新低，与西方发达国家通常在50％—60%的水平形成鲜明对比。<br>— 《转型中的地方政府》 · p97	转型中的地方政府 数据 quantitative
填空：`98.6％` | 1965年的10533家减少了98.6％，这些保留的中央企业的工业产值在全…（关键百分比数据）	`98.6％` | 1965年的10533家减少了98.6％，这些保留的中央企业的工业产值在全<br>— 《转型中的地方政府》 · p108	转型中的地方政府 数据 quantitative
填空：`8％` | 民所有制工业总产值的比重只占到8％左右（周太和，1984，第137、…（关键百分比数据）	`8％` | 民所有制工业总产值的比重只占到8％左右（周太和，1984，第137、<br>— 《转型中的地方政府》 · p108	转型中的地方政府 数据 quantitative
填空：`40％` | 比例分配，即基建投资额中的40％由中央主管部门掌握使用，30％由…（关键百分比数据）	`40％` | 比例分配，即基建投资额中的40％由中央主管部门掌握使用，30％由<br>— 《转型中的地方政府》 · p108	转型中的地方政府 数据 quantitative
填空：`30％` | 中央主管部门与地方共同安排，其余30％由地方自行掌握使用。…（关键百分比数据）	`30％` | 中央主管部门与地方共同安排，其余30％由地方自行掌握使用。<br>— 《转型中的地方政府》 · p108	转型中的地方政府 数据 quantitative
填空：`6%` | 来近三十年国民经济保持了大约6%的增长，但人均工资水平基本未…（关键百分比数据）	`6%` | 来近三十年国民经济保持了大约6%的增长，但人均工资水平基本未<br>— 《转型中的地方政府》 · p110	转型中的地方政府 数据 quantitative
