关于「国家治理制度逻辑」：运行过程中应对这一矛盾的治理机制；第三，还有一些现象则是这些…？	运行过程中应对这一矛盾的治理机制；第三，还有一些现象则是这些<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p21	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：我提出“激励强度与组织目标替代”这一悖论来描述分析这类现象。…？	我提出“激励强度与组织目标替代”这一悖论来描述分析这类现象。<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p221	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：1981）提出了一个重要的激励机制，即根据相对表现评定，在相互…？	1981）提出了一个重要的激励机制，即根据相对表现评定，在相互<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p247	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：在这一章，我的分析着眼点是这样一类现象：自20 世纪90 年…？	在这一章，我的分析着眼点是这样一类现象：自20 世纪90 年<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p280	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：除注明出处外，本章中所举具体事例和所引用语言均来自作者在2004 年田野研究中…？	除注明出处外，本章中所举具体事例和所引用语言均来自作者在2004 年田野研究中<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p284	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：里的基本思路是：（1）现行的干部晋升制度使政府官员去关注任期…？	里的基本思路是：（1）现行的干部晋升制度使政府官员去关注任期<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p291	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：改革开放时期的技术治理取向（渠敬东、周飞舟、应星2009）等，…？	改革开放时期的技术治理取向（渠敬东、周飞舟、应星2009）等，<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p170	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：退耕还林”项目，这给村庄的家庭提供了每年共30 万元的额外收…？	退耕还林”项目，这给村庄的家庭提供了每年共30 万元的额外收<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p321	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「国家治理制度逻辑」：在一个村庄选举前一天出现了匿名大字报，指控现村主任贪污、玩弄女人…？	在一个村庄选举前一天出现了匿名大字报，指控现村主任贪污、玩弄女人<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p372	周雪光 中国国家治理的制度逻 国家治理制度逻辑 命题
关于「官员激励与治理」：8.5 政商环境的地区差异：理论假说及其证据当行政发包制遇上政治锦标赛9.1 纵…？	8.5 政商环境的地区差异：理论假说及其证据当行政发包制遇上政治锦标赛9.1 纵向发包和横向竞争9.2 “集权—分权”悖论及其解释9.3 政府层级间的“责任状”和“数目字管理”<br>— 周黎安 · 《转型中的地方政府》 · p7	周黎安 转型中的地方政府 官员激励与治理 命题
关于「官员激励与治理」：除了原来的基本观点、分析架构大体不变之外…？	除了原来的基本观点、分析架构大体不变之外，书的绝大多数章节都有较大幅度的修改和补充。自从2008年第一版问世以来，围绕着中国官员激励和政府治理这条主线我自己做了许多后续的研究，国内外学术界也涌现了一系列新的研究成果，在<br>— 周黎安 · 《转型中的地方政府》 · p14	周黎安 转型中的地方政府 官员激励与治理 命题
关于「官员激励与治理」：我认为，过去30年“官场+市场”的双层竞争模式驱动了中国经济的高速增长…？	我认为，过去30年“官场+市场”的双层竞争模式驱动了中国经济的高速增长，塑造了中国独具特色的政经结构、市场经济和政商关系。基于这个视角，我区分了制度化的政企关系（比如地方政府与国有企业之间）与极具人格化的官商关系（如地<br>— 周黎安 · 《转型中的地方政府》 · p15	周黎安 转型中的地方政府 官员激励与治理 命题
关于「官员激励与治理」：论文成为本书的一个重要基础。在本书完稿之前曾有机会向香港中文大学的车嘉华讨教…？	论文成为本书的一个重要基础。在本书完稿之前曾有机会向香港中文大学的车嘉华讨教，受益匪浅。实际上在过去十年间我们围绕着本书的主题就曾有过数次深入交流，令我收获很大。<br>— 周黎安 · 《转型中的地方政府》 · p18	周黎安 转型中的地方政府 官员激励与治理 命题
关于「官员激励与治理」：问题的关键在于，中国提供这些激励的制度安排具备很多“本土”特色…？	问题的关键在于，中国提供这些激励的制度安排具备很多“本土”特色，与西方世界的标准范式大相径庭。为了解释中国的经济增长，我们必须寻找那些具有中国特色的支持经济增长的制度安排。我们把观察的视角投向了中国的政府治理，尤其<br>— 周黎安 · 《转型中的地方政府》 · p30	周黎安 转型中的地方政府 官员激励与治理 命题
关于「官员激励与治理」：谓是中国城市土地管理制度最重要的变革…？	谓是中国城市土地管理制度最重要的变革。然而，深圳特区最早借鉴香港的土地批租制度，向部分土地征收使用费，这一做法在当时具有<br>— 周黎安 · 《转型中的地方政府》 · p31	周黎安 转型中的地方政府 官员激励与治理 命题
